Rank,Popularity,Score,Episodes
1004,1614,7.74,51
1005,5291,7.74,1
1006,2889,7.74,24
1007,9739,7.74,2
1008,2572,7.74,13
1009,3179,7.74,12
1010,1147,7.74,12
1011,1784,7.74,1
1012,1019,7.74,1
1013,110,7.74,12
1014,1124,7.74,10
1015,280,7.74,24
1016,1251,7.73,13
1017,1864,7.73,1
1018,4784,7.73,1
1019,6972,7.73,12
1020,960,7.73,1
1021,3882,7.73,1
1022,361,7.73,12
1023,1435,7.73,6
1024,2101,7.73,12
1025,4580,7.73,3
1026,2604,7.73,2
1027,4741,7.73,1
1028,2321,7.73,1
1029,5863,7.73,15
1030,637,7.73,2
1031,927,7.73,4
1032,2042,7.73,1
1033,2483,7.73,2
1034,1416,7.73,26
1035,874,7.73,12
1036,5227,7.73,39
1037,265,7.73,12
1038,1277,7.73,25
1039,1707,7.72,3
1040,3681,7.72,52
1041,828,7.72,12
1042,1949,7.72,1
1043,3225,7.72,1
1044,802,7.72,1
1045,2442,7.72,2
1046,2678,7.72,12
1047,723,7.72,12
1048,4764,7.72,40
1049,3613,7.72,50
1050,2390,7.72,1
1051,4919,7.72,13
1052,3606,7.72,104
1053,86,7.72,12
1054,4353,7.72,2
1055,3257,7.72,1
1056,1503,7.72,1
1057,4141,7.72,1
1058,8050,7.72,1
1059,2485,7.72,17
1060,351,7.72,12
1061,2385,7.72,9
1062,1283,7.72,1
1063,4657,7.72,1
1064,2164,7.71,1
1065,966,7.71,12
1066,977,7.71,1
1067,553,7.71,46
1068,1090,7.71,13
1069,3042,7.71,1
1070,9776,7.71,13
1071,552,7.71,97
1072,1162,7.71,19
1073,2877,7.71,1
1074,2295,7.71,39
1075,1501,7.71,11
1076,1715,7.71,12
1077,2831,7.71,3
1078,2591,7.71,8
1079,2861,7.71,4
1080,30,7.71,24
1081,3905,7.71,2
1082,665,7.71,1
1083,546,7.71,13
1084,4461,7.71,1
1085,2138,7.71,1
1086,2830,7.71,1
1087,10908,7.71,52
1088,2908,7.71,50
1089,1196,7.71,13
1090,1289,7.7,49
1091,695,7.7,6
1092,1033,7.7,12
1093,5725,7.7,1
1094,838,7.7,13
1095,1676,7.7,1
1096,4074,7.7,52
1097,1493,7.7,1
1098,2181,7.7,195
1099,3365,7.7,12
1100,534,7.7,13
1101,5535,7.7,1
1102,4432,7.7,1
1103,1331,7.7,43
1104,2409,7.7,1
1105,1040,7.7,2
1106,218,7.7,12
1107,2367,7.7,1
1108,1626,7.7,1
1109,3484,7.7,1
1110,2299,7.69,8
1111,902,7.69,13
1112,2658,7.69,1
1113,2559,7.69,1
1114,104,7.69,24
1115,1625,7.69,25
1116,3927,7.69,3
1117,1423,7.69,2
1118,2190,7.69,358
1119,1029,7.69,2
1120,2755,7.69,1
1121,3281,7.69,1
1122,5138,7.69,1
1123,5776,7.69,1
1124,5658,7.69,2
1125,3398,7.69,13
1126,965,7.69,12
1127,806,7.69,12
1128,626,7.69,26
1129,1747,7.69,1
1130,536,7.69,12
1131,3320,7.69,42
1132,3664,7.69,1
1133,10742,7.69,1
1134,4644,7.68,1
1135,2852,7.68,8
1136,4376,7.68,46
1137,4241,7.68,31
1138,1332,7.68,26
1139,325,7.68,24
1140,180,7.68,12
1141,1284,7.68,13
1142,6370,7.68,1
1143,524,7.68,12
1144,2391,7.68,104
1145,3241,7.68,1
1146,2348,7.68,1
1147,357,7.68,26
1148,3542,7.68,1
1149,4127,7.68,2
1150,300,7.68,12
1151,1540,7.68,4
1152,2065,7.68,12
1153,3314,7.68,47
1154,2941,7.68,9
1155,107,7.68,24
1156,1213,7.67,12
1157,1292,7.67,12
1158,539,7.67,25
1159,3680,7.67,1
1160,1195,7.67,61
1161,3392,7.67,1
1162,2213,7.67,1
1163,3486,7.67,2
1164,2466,7.67,12
1165,1267,7.67,11
1166,1783,7.67,1
1167,3230,7.67,1
1168,1120,7.67,13
1169,2344,7.67,9
1170,1193,7.67,13
1171,518,7.67,13
1172,643,7.67,1
1173,675,7.67,13
1174,456,7.67,25
1175,1516,7.67,47
1176,4531,7.67,2
1177,5204,7.67,48
1178,4820,7.67,26
1179,3369,7.67,16
1180,1212,7.67,12
1181,2986,7.67,6
1182,2538,7.66,13
1183,2904,7.66,1
1184,4774,7.66,51
1185,4186,7.66,52
1186,4950,7.66,13
1187,2708,7.66,13
1188,4718,7.66,1
1189,4722,7.66,25
1190,453,7.66,13
1191,2154,7.66,25
1192,3105,7.66,6
1193,4059,7.66,1
1194,1409,7.66,26
1195,1333,7.66,1
1196,3573,7.66,13
1197,146,7.66,102
1198,11442,7.66,1
1199,241,7.66,12
1200,316,7.66,11
1201,1592,7.66,12
1202,5509,7.66,22
1203,1246,7.65,10
1204,169,7.65,12
1205,2754,7.65,1
1206,1631,7.65,22
1207,2289,7.65,1
1208,3939,7.65,78
1209,1097,7.65,13
1210,1048,7.65,127
1211,2254,7.65,12
1212,823,7.65,1
1213,7667,7.65,1
1214,1695,7.65,78
1215,1399,7.65,12
1216,3774,7.65,13
1217,3382,7.65,1
1218,2304,7.65,1
1219,4428,7.65,3
1220,909,7.65,12
1221,8879,7.65,13
1222,8876,7.65,12
1223,121,7.64,24
1224,2334,7.64,1
1225,2352,7.64,3
1226,974,7.64,13
1227,492,7.64,12
1228,1079,7.64,12
1229,2148,7.64,12
1230,3697,7.64,6
1231,4145,7.64,26
1232,1253,7.64,26
1233,863,7.64,13
1234,3217,7.64,13
1235,1990,7.64,1
1236,3589,7.64,12
1237,5673,7.64,1
1238,2226,7.64,1
1239,486,7.64,13
1240,2196,7.64,7
